"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NL","Actual Total Load [MW] - BZN|NL"
"01.01.2020 14:45 - 01.01.2020 15:00","13062","12852"
"01.01.2020 15:00 - 01.01.2020 15:15","13114","12899"
"01.01.2020 15:15 - 01.01.2020 15:30","13130","12930"
"01.01.2020 15:30 - 01.01.2020 15:45","13183","13003"
"01.01.2020 15:45 - 01.01.2020 16:00","13266","13049"
"01.01.2020 16:00 - 01.01.2020 16:15","13276","13082"
"01.01.2020 16:15 - 01.01.2020 16:30","13247","13237"
"01.01.2020 16:30 - 01.01.2020 16:45","13378","13387"
"01.01.2020 16:45 - 01.01.2020 17:00","13630","13719"
"01.01.2020 17:00 - 01.01.2020 17:15","13816","13925"
"01.01.2020 17:15 - 01.01.2020 17:30","13786","14203"
"01.01.2020 17:30 - 01.01.2020 17:45","13839","14347"
"01.01.2020 17:45 - 01.01.2020 18:00","13812","14381"
"01.01.2020 18:00 - 01.01.2020 18:15","13556","13833"
"01.01.2020 18:15 - 01.01.2020 18:30","13109","13740"
"01.01.2020 18:30 - 01.01.2020 18:45","12956","13731"
"01.01.2020 18:45 - 01.01.2020 19:00","12874","13675"
"01.01.2020 19:00 - 01.01.2020 19:15","12784","13650"
"01.01.2020 19:15 - 01.01.2020 19:30","12657","13669"
"01.01.2020 19:30 - 01.01.2020 19:45","12547","13584"
"01.01.2020 19:45 - 01.01.2020 20:00","12433","13544"
"01.01.2020 20:00 - 01.01.2020 20:15","12323","13452"
"01.01.2020 20:15 - 01.01.2020 20:30","12185","13371"
"01.01.2020 20:30 - 01.01.2020 20:45","12042","13199"
"01.01.2020 20:45 - 01.01.2020 21:00","11883","13034"
"01.01.2020 21:00 - 01.01.2020 21:15","11745","12912"
"01.01.2020 21:15 - 01.01.2020 21:30","11605","12770"
"01.01.2020 21:30 - 01.01.2020 21:45","11461","12632"
"01.01.2020 21:45 - 01.01.2020 22:00","11310","12578"
"01.01.2020 22:00 - 01.01.2020 22:15","11163","12388"
"01.01.2020 22:15 - 01.01.2020 22:30","11018","12237"
"01.01.2020 22:30 - 01.01.2020 22:45","10843","12071"
"01.01.2020 22:45 - 01.01.2020 23:00","10635","11848"
"01.01.2020 23:00 - 01.01.2020 23:15","10484","11705"
"01.01.2020 23:15 - 01.01.2020 23:30","10407","11598"
"01.01.2020 23:30 - 01.01.2020 23:45","10244","11370"
"01.01.2020 23:45 - 02.01.2020 00:00","10034","11230"
"02.01.2020 00:00 - 02.01.2020 00:15","9907","11139"
"02.01.2020 00:15 - 02.01.2020 00:30","9905","11112"
"02.01.2020 00:30 - 02.01.2020 00:45","9872","11037"
"02.01.2020 00:45 - 02.01.2020 01:00","9768","10952"
"02.01.2020 01:00 - 02.01.2020 01:15","9667","10898"
"02.01.2020 01:15 - 02.01.2020 01:30","9597","10855"
"02.01.2020 01:30 - 02.01.2020 01:45","9518","10771"
"02.01.2020 01:45 - 02.01.2020 02:00","9428","10691"
"02.01.2020 02:00 - 02.01.2020 02:15","9347","10644"
"02.01.2020 02:15 - 02.01.2020 02:30","9320","10590"
"02.01.2020 02:30 - 02.01.2020 02:45","9299","10587"
"02.01.2020 02:45 - 02.01.2020 03:00","9284","10567"
"02.01.2020 03:00 - 02.01.2020 03:15","9257","10571"
"02.01.2020 03:15 - 02.01.2020 03:30","9237","10537"
"02.01.2020 03:30 - 02.01.2020 03:45","9235","10498"
"02.01.2020 03:45 - 02.01.2020 04:00","9214","10500"
"02.01.2020 04:00 - 02.01.2020 04:15","9194","10574"
"02.01.2020 04:15 - 02.01.2020 04:30","9203","10622"
"02.01.2020 04:30 - 02.01.2020 04:45","9209","10687"
"02.01.2020 04:45 - 02.01.2020 05:00","9221","10730"
"02.01.2020 05:00 - 02.01.2020 05:15","9292","10895"
"02.01.2020 05:15 - 02.01.2020 05:30","9396","10981"
"02.01.2020 05:30 - 02.01.2020 05:45","9533","11188"
"02.01.2020 05:45 - 02.01.2020 06:00","9682","11384"
"02.01.2020 06:00 - 02.01.2020 06:15","9858","11685"
"02.01.2020 06:15 - 02.01.2020 06:30","10121","12000"
"02.01.2020 06:30 - 02.01.2020 06:45","10420","12210"
"02.01.2020 06:45 - 02.01.2020 07:00","10685","12406"
"02.01.2020 07:00 - 02.01.2020 07:15","10987","12830"
"02.01.2020 07:15 - 02.01.2020 07:30","11399","13283"
"02.01.2020 07:30 - 02.01.2020 07:45","11767","13659"
"02.01.2020 07:45 - 02.01.2020 08:00","12085","14024"
"02.01.2020 08:00 - 02.01.2020 08:15","12363","14384"
"02.01.2020 08:15 - 02.01.2020 08:30","12587","14680"
"02.01.2020 08:30 - 02.01.2020 08:45","12695","14929"
"02.01.2020 08:45 - 02.01.2020 09:00","12745","15108"
"02.01.2020 09:00 - 02.01.2020 09:15","12817","15343"
"02.01.2020 09:15 - 02.01.2020 09:30","12868","15569"
"02.01.2020 09:30 - 02.01.2020 09:45","12883","15696"
"02.01.2020 09:45 - 02.01.2020 10:00","12848","15830"
"02.01.2020 10:00 - 02.01.2020 10:15","12799","15855"
"02.01.2020 10:15 - 02.01.2020 10:30","12747","15834"
"02.01.2020 10:30 - 02.01.2020 10:45","12681","15957"
"02.01.2020 10:45 - 02.01.2020 11:00","12614","16042"
"02.01.2020 11:00 - 02.01.2020 11:15","12526","16046"
"02.01.2020 11:15 - 02.01.2020 11:30","12464","15950"
"02.01.2020 11:30 - 02.01.2020 11:45","12410","16042"
"02.01.2020 11:45 - 02.01.2020 12:00","12338","16103"
"02.01.2020 12:00 - 02.01.2020 12:15","12279","16067"
"02.01.2020 12:15 - 02.01.2020 12:30","12267","16019"
"02.01.2020 12:30 - 02.01.2020 12:45","12191","16013"
"02.01.2020 12:45 - 02.01.2020 13:00","12157","16027"
"02.01.2020 13:00 - 02.01.2020 13:15","12184","16091"
"02.01.2020 13:15 - 02.01.2020 13:30","12266","16120"
"02.01.2020 13:30 - 02.01.2020 13:45","12334","16102"
"02.01.2020 13:45 - 02.01.2020 14:00","12401","16106"
"02.01.2020 14:00 - 02.01.2020 14:15","12454","16083"
"02.01.2020 14:15 - 02.01.2020 14:30","12490","16057"
"02.01.2020 14:30 - 02.01.2020 14:45","12554","16083"
"02.01.2020 14:45 - 02.01.2020 15:00","12609","16064"
"02.01.2020 15:00 - 02.01.2020 15:15","12667","16016"
"02.01.2020 15:15 - 02.01.2020 15:30","12756","16010"
"02.01.2020 15:30 - 02.01.2020 15:45","12838","16040"
"02.01.2020 15:45 - 02.01.2020 16:00","12925","16091"
"02.01.2020 16:00 - 02.01.2020 16:15","12966","16048"
"02.01.2020 16:15 - 02.01.2020 16:30","13007","16126"
"02.01.2020 16:30 - 02.01.2020 16:45","13133","16302"
"02.01.2020 16:45 - 02.01.2020 17:00","13327","16652"
"02.01.2020 17:00 - 02.01.2020 17:15","13457","16713"
"02.01.2020 17:15 - 02.01.2020 17:30","13369","16878"
"02.01.2020 17:30 - 02.01.2020 17:45","13374","16934"
"02.01.2020 17:45 - 02.01.2020 18:00","13324","16833"
"02.01.2020 18:00 - 02.01.2020 18:15","13083","16334"
"02.01.2020 18:15 - 02.01.2020 18:30","12644","16113"
"02.01.2020 18:30 - 02.01.2020 18:45","12492","15945"
"02.01.2020 18:45 - 02.01.2020 19:00","12397","15834"
"02.01.2020 19:00 - 02.01.2020 19:15","12287","15664"
"02.01.2020 19:15 - 02.01.2020 19:30","12173","15462"
"02.01.2020 19:30 - 02.01.2020 19:45","12042","15311"
"02.01.2020 19:45 - 02.01.2020 20:00","11948","15258"
"02.01.2020 20:00 - 02.01.2020 20:15","11880","15016"
"02.01.2020 20:15 - 02.01.2020 20:30","11774","14852"
"02.01.2020 20:30 - 02.01.2020 20:45","11614","14671"
"02.01.2020 20:45 - 02.01.2020 21:00","11415","14448"
"02.01.2020 21:00 - 02.01.2020 21:15","11362","14181"
"02.01.2020 21:15 - 02.01.2020 21:30","11200","13999"
"02.01.2020 21:30 - 02.01.2020 21:45","11023","13784"
"02.01.2020 21:45 - 02.01.2020 22:00","10844","13621"
"02.01.2020 22:00 - 02.01.2020 22:15","10678","13331"
"02.01.2020 22:15 - 02.01.2020 22:30","10504","13089"
"02.01.2020 22:30 - 02.01.2020 22:45","10337","12880"
"02.01.2020 22:45 - 02.01.2020 23:00","10148","12658"
"02.01.2020 23:00 - 02.01.2020 23:15","10020","12527"
"02.01.2020 23:15 - 02.01.2020 23:30","9969","12320"
"02.01.2020 23:30 - 02.01.2020 23:45","9859","12124"
"02.01.2020 23:45 - 03.01.2020 00:00","9683","11931"
"03.01.2020 00:00 - 03.01.2020 00:15","9556","11778"
"03.01.2020 00:15 - 03.01.2020 00:30","9551","11658"
"03.01.2020 00:30 - 03.01.2020 00:45","9529","11546"
"03.01.2020 00:45 - 03.01.2020 01:00","9446","11430"
"03.01.2020 01:00 - 03.01.2020 01:15","9360","11357"
"03.01.2020 01:15 - 03.01.2020 01:30","9303","11313"
"03.01.2020 01:30 - 03.01.2020 01:45","9235","11198"
"03.01.2020 01:45 - 03.01.2020 02:00","9164","11121"
"03.01.2020 02:00 - 03.01.2020 02:15","9092","11064"
"03.01.2020 02:15 - 03.01.2020 02:30","9049","10998"
"03.01.2020 02:30 - 03.01.2020 02:45","9017","10945"
"03.01.2020 02:45 - 03.01.2020 03:00","8992","10900"
"03.01.2020 03:00 - 03.01.2020 03:15","8982","10882"
"03.01.2020 03:15 - 03.01.2020 03:30","8981","10846"
"03.01.2020 03:30 - 03.01.2020 03:45","8987","10824"
"03.01.2020 03:45 - 03.01.2020 04:00","8984","10825"
"03.01.2020 04:00 - 03.01.2020 04:15","9000","10832"
"03.01.2020 04:15 - 03.01.2020 04:30","9051","10890"
"03.01.2020 04:30 - 03.01.2020 04:45","9085","10930"
"03.01.2020 04:45 - 03.01.2020 05:00","9137","10929"
"03.01.2020 05:00 - 03.01.2020 05:15","9235","11068"
"03.01.2020 05:15 - 03.01.2020 05:30","9353","11211"
"03.01.2020 05:30 - 03.01.2020 05:45","9509","11400"
"03.01.2020 05:45 - 03.01.2020 06:00","9701","11552"
"03.01.2020 06:00 - 03.01.2020 06:15","9939","11859"
"03.01.2020 06:15 - 03.01.2020 06:30","10243","12095"
"03.01.2020 06:30 - 03.01.2020 06:45","10531","12362"
"03.01.2020 06:45 - 03.01.2020 07:00","10812","12618"
"03.01.2020 07:00 - 03.01.2020 07:15","11123","13004"
"03.01.2020 07:15 - 03.01.2020 07:30","11516","13366"
"03.01.2020 07:30 - 03.01.2020 07:45","11929","13664"
"03.01.2020 07:45 - 03.01.2020 08:00","12308","14020"
"03.01.2020 08:00 - 03.01.2020 08:15","12629","14354"
"03.01.2020 08:15 - 03.01.2020 08:30","12921","14686"
"03.01.2020 08:30 - 03.01.2020 08:45","13161","14883"
"03.01.2020 08:45 - 03.01.2020 09:00","13303","15048"
"03.01.2020 09:00 - 03.01.2020 09:15","13429","15183"
"03.01.2020 09:15 - 03.01.2020 09:30","13541","15373"
"03.01.2020 09:30 - 03.01.2020 09:45","13604","15528"
"03.01.2020 09:45 - 03.01.2020 10:00","13607","15589"
"03.01.2020 10:00 - 03.01.2020 10:15","13596","15689"
"03.01.2020 10:15 - 03.01.2020 10:30","13567","15702"
"03.01.2020 10:30 - 03.01.2020 10:45","13522","15771"
"03.01.2020 10:45 - 03.01.2020 11:00","13480","15840"
"03.01.2020 11:00 - 03.01.2020 11:15","13448","15863"
"03.01.2020 11:15 - 03.01.2020 11:30","13436","15883"
"03.01.2020 11:30 - 03.01.2020 11:45","13418","15893"
"03.01.2020 11:45 - 03.01.2020 12:00","13305","15889"
"03.01.2020 12:00 - 03.01.2020 12:15","13103","15915"
"03.01.2020 12:15 - 03.01.2020 12:30","13028","15871"
"03.01.2020 12:30 - 03.01.2020 12:45","13107","15844"
"03.01.2020 12:45 - 03.01.2020 13:00","13176","15842"
"03.01.2020 13:00 - 03.01.2020 13:15","13149","15862"
"03.01.2020 13:15 - 03.01.2020 13:30","13124","15925"
"03.01.2020 13:30 - 03.01.2020 13:45","13157","15955"
"03.01.2020 13:45 - 03.01.2020 14:00","13115","15915"
"03.01.2020 14:00 - 03.01.2020 14:15","13176","15850"
"03.01.2020 14:15 - 03.01.2020 14:30","13148","15862"
"03.01.2020 14:30 - 03.01.2020 14:45","13166","15883"
"03.01.2020 14:45 - 03.01.2020 15:00","13190","15783"
"03.01.2020 15:00 - 03.01.2020 15:15","13189","15678"
"03.01.2020 15:15 - 03.01.2020 15:30","13213","15644"
"03.01.2020 15:30 - 03.01.2020 15:45","13350","15702"
"03.01.2020 15:45 - 03.01.2020 16:00","13449","15712"
"03.01.2020 16:00 - 03.01.2020 16:15","13482","15740"
"03.01.2020 16:15 - 03.01.2020 16:30","13471","15835"
"03.01.2020 16:30 - 03.01.2020 16:45","13644","16026"
"03.01.2020 16:45 - 03.01.2020 17:00","13862","16322"
"03.01.2020 17:00 - 03.01.2020 17:15","14011","16498"
"03.01.2020 17:15 - 03.01.2020 17:30","13948","16684"
"03.01.2020 17:30 - 03.01.2020 17:45","13982","16686"
"03.01.2020 17:45 - 03.01.2020 18:00","13796","16606"
"03.01.2020 18:00 - 03.01.2020 18:15","13540","16162"
"03.01.2020 18:15 - 03.01.2020 18:30","13506","15916"
"03.01.2020 18:30 - 03.01.2020 18:45","13042","15761"
"03.01.2020 18:45 - 03.01.2020 19:00","12918","15638"
"03.01.2020 19:00 - 03.01.2020 19:15","12775","15409"
"03.01.2020 19:15 - 03.01.2020 19:30","12624","15265"
"03.01.2020 19:30 - 03.01.2020 19:45","12567","15046"
"03.01.2020 19:45 - 03.01.2020 20:00","12428","15006"
"03.01.2020 20:00 - 03.01.2020 20:15","12311","14781"
"03.01.2020 20:15 - 03.01.2020 20:30","12182","14604"
"03.01.2020 20:30 - 03.01.2020 20:45","12002","14411"
"03.01.2020 20:45 - 03.01.2020 21:00","11830","14241"
"03.01.2020 21:00 - 03.01.2020 21:15","11659","13976"
"03.01.2020 21:15 - 03.01.2020 21:30","11477","13765"
"03.01.2020 21:30 - 03.01.2020 21:45","11286","13569"
"03.01.2020 21:45 - 03.01.2020 22:00","11101","13419"
"03.01.2020 22:00 - 03.01.2020 22:15","10929","13192"
"03.01.2020 22:15 - 03.01.2020 22:30","10753","13015"
"03.01.2020 22:30 - 03.01.2020 22:45","10566","12812"
"03.01.2020 22:45 - 03.01.2020 23:00","10374","12675"
"03.01.2020 23:00 - 03.01.2020 23:15","10251","12586"
"03.01.2020 23:15 - 03.01.2020 23:30","10195","12440"
"03.01.2020 23:30 - 03.01.2020 23:45","10042","12282"
"03.01.2020 23:45 - 04.01.2020 00:00","9889","12100"
"04.01.2020 00:00 - 04.01.2020 00:15","9823","12051"
"04.01.2020 00:15 - 04.01.2020 00:30","9862","11901"
"04.01.2020 00:30 - 04.01.2020 00:45","9829","11788"
"04.01.2020 00:45 - 04.01.2020 01:00","9691","11694"
"04.01.2020 01:00 - 04.01.2020 01:15","9587","11610"
"04.01.2020 01:15 - 04.01.2020 01:30","9513","11486"
"04.01.2020 01:30 - 04.01.2020 01:45","9436","11313"
"04.01.2020 01:45 - 04.01.2020 02:00","9342","11210"
"04.01.2020 02:00 - 04.01.2020 02:15","9281","11154"
"04.01.2020 02:15 - 04.01.2020 02:30","9255","11071"
"04.01.2020 02:30 - 04.01.2020 02:45","9223","11011"
"04.01.2020 02:45 - 04.01.2020 03:00","9172","10994"
"04.01.2020 03:00 - 04.01.2020 03:15","9168","10966"
"04.01.2020 03:15 - 04.01.2020 03:30","9188","10956"
"04.01.2020 03:30 - 04.01.2020 03:45","9185","10897"
"04.01.2020 03:45 - 04.01.2020 04:00","9175","10853"
"04.01.2020 04:00 - 04.01.2020 04:15","9163","10829"
"04.01.2020 04:15 - 04.01.2020 04:30","9153","10814"
"04.01.2020 04:30 - 04.01.2020 04:45","9131","10827"
"04.01.2020 04:45 - 04.01.2020 05:00","9145","10835"
"04.01.2020 05:00 - 04.01.2020 05:15","9172","10898"
"04.01.2020 05:15 - 04.01.2020 05:30","9224","10950"
"04.01.2020 05:30 - 04.01.2020 05:45","9268","11031"
"04.01.2020 05:45 - 04.01.2020 06:00","9319","11105"
"04.01.2020 06:00 - 04.01.2020 06:15","9393","11272"
"04.01.2020 06:15 - 04.01.2020 06:30","9514","11369"
"04.01.2020 06:30 - 04.01.2020 06:45","9633","11537"
"04.01.2020 06:45 - 04.01.2020 07:00","9765","11685"
"04.01.2020 07:00 - 04.01.2020 07:15","9887","11923"
"04.01.2020 07:15 - 04.01.2020 07:30","10044","12094"
"04.01.2020 07:30 - 04.01.2020 07:45","10214","12239"
"04.01.2020 07:45 - 04.01.2020 08:00","10371","12432"
"04.01.2020 08:00 - 04.01.2020 08:15","10580","12667"
"04.01.2020 08:15 - 04.01.2020 08:30","10775","12926"
"04.01.2020 08:30 - 04.01.2020 08:45","10943","13086"
"04.01.2020 08:45 - 04.01.2020 09:00","11047","13223"
"04.01.2020 09:00 - 04.01.2020 09:15","11196","13475"
"04.01.2020 09:15 - 04.01.2020 09:30","11345","13645"
"04.01.2020 09:30 - 04.01.2020 09:45","11460","13806"
"04.01.2020 09:45 - 04.01.2020 10:00","11543","13915"
"04.01.2020 10:00 - 04.01.2020 10:15","11596","14041"
"04.01.2020 10:15 - 04.01.2020 10:30","11599","14088"
"04.01.2020 10:30 - 04.01.2020 10:45","11569","14091"
"04.01.2020 10:45 - 04.01.2020 11:00","11504","14088"
"04.01.2020 11:00 - 04.01.2020 11:15","11406","14083"
"04.01.2020 11:15 - 04.01.2020 11:30","11317","14062"
"04.01.2020 11:30 - 04.01.2020 11:45","11271","14061"
"04.01.2020 11:45 - 04.01.2020 12:00","11268","14122"
"04.01.2020 12:00 - 04.01.2020 12:15","11300","14155"
"04.01.2020 12:15 - 04.01.2020 12:30","11311","14127"
"04.01.2020 12:30 - 04.01.2020 12:45","11303","14079"
"04.01.2020 12:45 - 04.01.2020 13:00","11256","14100"
"04.01.2020 13:00 - 04.01.2020 13:15","11229","14081"
"04.01.2020 13:15 - 04.01.2020 13:30","11214","14113"
"04.01.2020 13:30 - 04.01.2020 13:45","11216","14166"
"04.01.2020 13:45 - 04.01.2020 14:00","11234","14203"
"04.01.2020 14:00 - 04.01.2020 14:15","11258","14226"
"04.01.2020 14:15 - 04.01.2020 14:30","11288","14254"
"04.01.2020 14:30 - 04.01.2020 14:45","11327","14274"
"04.01.2020 14:45 - 04.01.2020 15:00","11364","14266"
"04.01.2020 15:00 - 04.01.2020 15:15","11435","14248"
"04.01.2020 15:15 - 04.01.2020 15:30","11509","14248"
"04.01.2020 15:30 - 04.01.2020 15:45","11590","14314"
"04.01.2020 15:45 - 04.01.2020 16:00","11685","14308"
"04.01.2020 16:00 - 04.01.2020 16:15","11756","14353"
"04.01.2020 16:15 - 04.01.2020 16:30","11797","14456"
"04.01.2020 16:30 - 04.01.2020 16:45","11941","14600"
"04.01.2020 16:45 - 04.01.2020 17:00","12165","14958"
"04.01.2020 17:00 - 04.01.2020 17:15","12313","15058"
"04.01.2020 17:15 - 04.01.2020 17:30","12259","15279"
"04.01.2020 17:30 - 04.01.2020 17:45","12313","15365"
"04.01.2020 17:45 - 04.01.2020 18:00","12327","15351"
"04.01.2020 18:00 - 04.01.2020 18:15","12142","15006"
"04.01.2020 18:15 - 04.01.2020 18:30","11793","14828"
"04.01.2020 18:30 - 04.01.2020 18:45","11669","14723"
"04.01.2020 18:45 - 04.01.2020 19:00","11573","14569"
"04.01.2020 19:00 - 04.01.2020 19:15","11501","14418"
"04.01.2020 19:15 - 04.01.2020 19:30","11428","14264"
"04.01.2020 19:30 - 04.01.2020 19:45","11311","14139"
"04.01.2020 19:45 - 04.01.2020 20:00","11229","14052"
"04.01.2020 20:00 - 04.01.2020 20:15","11189","13886"
"04.01.2020 20:15 - 04.01.2020 20:30","11121","13663"
"04.01.2020 20:30 - 04.01.2020 20:45","11018","13507"
"04.01.2020 20:45 - 04.01.2020 21:00","10882","13399"
"04.01.2020 21:00 - 04.01.2020 21:15","10765","13187"
"04.01.2020 21:15 - 04.01.2020 21:30","10670","13080"
"04.01.2020 21:30 - 04.01.2020 21:45","10530","12919"
"04.01.2020 21:45 - 04.01.2020 22:00","10378","12793"
"04.01.2020 22:00 - 04.01.2020 22:15","10270","12611"
"04.01.2020 22:15 - 04.01.2020 22:30","10192","12439"
"04.01.2020 22:30 - 04.01.2020 22:45","10092","12343"
"04.01.2020 22:45 - 04.01.2020 23:00","9951","12155"
"04.01.2020 23:00 - 04.01.2020 23:15","9855","12017"
"04.01.2020 23:15 - 04.01.2020 23:30","9785","11890"
"04.01.2020 23:30 - 04.01.2020 23:45","9655","11715"
"04.01.2020 23:45 - 05.01.2020 00:00","9494","11532"
"05.01.2020 00:00 - 05.01.2020 00:15","9249","11507"
"05.01.2020 00:15 - 05.01.2020 00:30","9222","11454"
"05.01.2020 00:30 - 05.01.2020 00:45","9161","11371"
"05.01.2020 00:45 - 05.01.2020 01:00","9000","11266"
"05.01.2020 01:00 - 05.01.2020 01:15","8849","11215"
"05.01.2020 01:15 - 05.01.2020 01:30","8792","11101"
"05.01.2020 01:30 - 05.01.2020 01:45","8705","11003"
"05.01.2020 01:45 - 05.01.2020 02:00","8558","10896"
"05.01.2020 02:00 - 05.01.2020 02:15","8431","10802"
"05.01.2020 02:15 - 05.01.2020 02:30","8353","10718"
"05.01.2020 02:30 - 05.01.2020 02:45","8279","10643"
"05.01.2020 02:45 - 05.01.2020 03:00","8210","10603"
"05.01.2020 03:00 - 05.01.2020 03:15","8142","10575"
"05.01.2020 03:15 - 05.01.2020 03:30","8144","10554"
"05.01.2020 03:30 - 05.01.2020 03:45","8164","10516"
"05.01.2020 03:45 - 05.01.2020 04:00","8132","10494"
"05.01.2020 04:00 - 05.01.2020 04:15","8091","10503"
"05.01.2020 04:15 - 05.01.2020 04:30","8054","10552"
"05.01.2020 04:30 - 05.01.2020 04:45","8027","10533"
"05.01.2020 04:45 - 05.01.2020 05:00","8022","10536"
"05.01.2020 05:00 - 05.01.2020 05:15","8020","10596"
"05.01.2020 05:15 - 05.01.2020 05:30","8061","10648"
"05.01.2020 05:30 - 05.01.2020 05:45","8100","10642"
"05.01.2020 05:45 - 05.01.2020 06:00","8126","10687"
"05.01.2020 06:00 - 05.01.2020 06:15","8161","10759"
"05.01.2020 06:15 - 05.01.2020 06:30","8245","10778"
"05.01.2020 06:30 - 05.01.2020 06:45","8303","10868"
"05.01.2020 06:45 - 05.01.2020 07:00","8326","10902"
"05.01.2020 07:00 - 05.01.2020 07:15","8360","11078"
"05.01.2020 07:15 - 05.01.2020 07:30","8472","11152"
"05.01.2020 07:30 - 05.01.2020 07:45","8588","11313"
"05.01.2020 07:45 - 05.01.2020 08:00","8724","11481"
"05.01.2020 08:00 - 05.01.2020 08:15","8900","11688"
"05.01.2020 08:15 - 05.01.2020 08:30","9129","11839"
"05.01.2020 08:30 - 05.01.2020 08:45","9266","12030"
"05.01.2020 08:45 - 05.01.2020 09:00","9376","12162"
"05.01.2020 09:00 - 05.01.2020 09:15","9512","12327"
"05.01.2020 09:15 - 05.01.2020 09:30","9614","12527"
"05.01.2020 09:30 - 05.01.2020 09:45","9652","12658"
"05.01.2020 09:45 - 05.01.2020 10:00","9677","12806"
"05.01.2020 10:00 - 05.01.2020 10:15","9680","12942"
"05.01.2020 10:15 - 05.01.2020 10:30","9624","13117"
"05.01.2020 10:30 - 05.01.2020 10:45","9541","13183"
"05.01.2020 10:45 - 05.01.2020 11:00","9468","13286"
"05.01.2020 11:00 - 05.01.2020 11:15","9389","13365"
"05.01.2020 11:15 - 05.01.2020 11:30","9349","13474"
"05.01.2020 11:30 - 05.01.2020 11:45","9312","13497"
"05.01.2020 11:45 - 05.01.2020 12:00","9347","13662"
"05.01.2020 12:00 - 05.01.2020 12:15","9432","13781"
